	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MFGE8	0	0.795810205111892	0.644	0.161	0	Smooth muscle cells	MFGE8
IGFBP51	0	0.792661316791569	0.33	0.118	0	Smooth muscle cells	IGFBP5
FILIP1L1	0	0.789919746035795	0.605	0.172	0	Smooth muscle cells	FILIP1L
ISG151	0	0.782627690892606	0.562	0.26	0	Smooth muscle cells	ISG15
MT1M1	0	0.78069106835262	0.514	0.124	0	Smooth muscle cells	MT1M
JUNB1	0	0.779710918697207	0.978	0.91	0	Smooth muscle cells	JUNB
PPP1R15A1	0	0.779666926439098	0.884	0.726	0	Smooth muscle cells	PPP1R15A
ADRA2A	0	0.767145486879476	0.474	0.02	0	Smooth muscle cells	ADRA2A
ZNF331	0	0.762206216470518	0.433	0.133	0	Smooth muscle cells	ZNF331
PDGFRB1	0	0.757149272773781	0.665	0.131	0	Smooth muscle cells	PDGFRB
LGALS12	0	0.755701797713192	0.963	0.599	0	Smooth muscle cells	LGALS1
TCIM1	0	0.735562389600089	0.412	0.102	0	Smooth muscle cells	TCIM
ZFP362	0	0.730460206120913	0.856	0.734	0	Smooth muscle cells	ZFP36
SOCS32	0	0.729915075202174	0.718	0.438	0	Smooth muscle cells	SOCS3
DNAJB13	0	0.72882585918831	0.856	0.687	0	Smooth muscle cells	DNAJB1
AVPR1A	0	0.72757615313466	0.413	0.015	0	Smooth muscle cells	AVPR1A
SOD31	0	0.72189056787635	0.686	0.16	0	Smooth muscle cells	SOD3
IER5L	0	0.720703971400433	0.575	0.189	0	Smooth muscle cells	IER5L
KLF92	0	0.712804088488789	0.658	0.221	0	Smooth muscle cells	KLF9
FOS	0	0.710109981850799	0.932	0.822	0	Smooth muscle cells	FOS
CDKN1A2	0	0.707785750238065	0.705	0.461	0	Smooth muscle cells	CDKN1A
S100A42	0	0.707602035810638	0.918	0.566	0	Smooth muscle cells	S100A4
MEF2C1	0	0.700548183075512	0.556	0.11	0	Smooth muscle cells	MEF2C
SERPINH11	0	0.696973123970869	0.639	0.251	0	Smooth muscle cells	SERPINH1
CRIP11	0	0.69510465208945	0.796	0.489	0	Smooth muscle cells	CRIP1
ADAMTS41	0	0.69406496113833	0.478	0.104	0	Smooth muscle cells	ADAMTS4
HES4	0	0.68654394854077	0.55	0.127	0	Smooth muscle cells	HES4
PPP1R12A	0	0.681541386818992	0.642	0.247	0	Smooth muscle cells	PPP1R12A
ID31	0	0.678523662420394	0.706	0.397	0	Smooth muscle cells	ID3
NOTCH3	0	0.673221331803727	0.575	0.103	0	Smooth muscle cells	NOTCH3
RASD11	0	0.672977771410614	0.496	0.174	0	Smooth muscle cells	RASD1
MALAT11	0	0.672704520441309	1	0.998	0	Smooth muscle cells	MALAT1
JUN2	0	0.665604028028899	0.918	0.853	0	Smooth muscle cells	JUN
TUBA1A1	0	0.664022923857732	0.701	0.308	0	Smooth muscle cells	TUBA1A
SLC2A32	0	0.64494201982853	0.693	0.302	0	Smooth muscle cells	SLC2A3
HSP90AA11	0	0.641669333905197	0.998	0.985	0	Smooth muscle cells	HSP90AA1
CAV11	0	0.638582491264277	0.816	0.548	0	Smooth muscle cells	CAV1
ANGPT21	0	0.63573448115771	0.492	0.058	0	Smooth muscle cells	ANGPT2
TINAGL1	0	0.634919587168197	0.484	0.033	0	Smooth muscle cells	TINAGL1
BGN1	0	0.631810508598397	0.581	0.156	0	Smooth muscle cells	BGN
CAVIN12	0	0.630645374472062	0.763	0.372	0	Smooth muscle cells	CAVIN1
GPM6B	0	0.598898922691093	0.442	0.051	0	Smooth muscle cells	GPM6B
EGFL6	0	0.595844964913872	0.323	0.005	0	Smooth muscle cells	EGFL6
UBB1	0	0.588169459921619	0.976	0.899	0	Smooth muscle cells	UBB
PHLDA12	0	0.586400760409603	0.574	0.215	0	Smooth muscle cells	PHLDA1
EPAS11	0	0.583247193438481	0.595	0.198	0	Smooth muscle cells	EPAS1
PHLDA2	0	0.567118664244389	0.53	0.242	0	Smooth muscle cells	PHLDA2
BRD21	0	0.563290007184591	0.668	0.486	0	Smooth muscle cells	BRD2
DSTN1	0	0.561288351874505	0.909	0.878	0	Smooth muscle cells	DSTN
JAG1	0	0.556155346523675	0.564	0.229	0	Smooth muscle cells	JAG1
SNHG15	0	0.553845119324436	0.486	0.214	0	Smooth muscle cells	SNHG15
IFITM22	0	0.552123825596191	0.723	0.328	0	Smooth muscle cells	IFITM2
CREM1	0	0.548195103113373	0.416	0.218	0	Smooth muscle cells	CREM
VIM3	0	0.54809786460274	0.999	0.678	0	Smooth muscle cells	VIM
JUND1	0	0.545968293175094	0.981	0.903	0	Smooth muscle cells	JUND
RHOB	0	0.545034284490537	0.535	0.275	0	Smooth muscle cells	RHOB
NR4A22	0	0.543522965792472	0.519	0.228	0	Smooth muscle cells	NR4A2
ZEB22	0	0.542437387979451	0.657	0.234	0	Smooth muscle cells	ZEB2
TWIST11	0	0.540950934584965	0.551	0.159	0	Smooth muscle cells	TWIST1
KLF21	0	0.535681309770561	0.517	0.198	0	Smooth muscle cells	KLF2
LPP	0	0.534601197943224	0.472	0.174	0	Smooth muscle cells	LPP
MTRNR2L122	0	0.522391870157232	0.873	0.727	0	Smooth muscle cells	MTRNR2L12
ABCC9	0	0.52087793883611	0.357	0.013	0	Smooth muscle cells	ABCC9
GUCY1A2	0	0.513503349205412	0.344	0.004	0	Smooth muscle cells	GUCY1A2
COX4I2	0	0.50883265573961	0.369	0.007	0	Smooth muscle cells	COX4I2
ITGB11	0	0.507518553602374	0.733	0.509	0	Smooth muscle cells	ITGB1
ARID5B2	0	0.498394579307068	0.764	0.508	0	Smooth muscle cells	ARID5B
CHN1	0	0.49690431166189	0.35	0.043	0	Smooth muscle cells	CHN1
PRKAR2B	0	0.496840397615834	0.385	0.036	0	Smooth muscle cells	PRKAR2B
ZFP36L11	0	0.496760793747011	0.978	0.869	0	Smooth muscle cells	ZFP36L1
EBF11	0	0.494347723588625	0.47	0.097	0	Smooth muscle cells	EBF1
SOX42	0	0.481707943141811	0.61	0.44	0	Smooth muscle cells	SOX4
CALM2	0	0.479973246593824	0.932	0.849	0	Smooth muscle cells	CALM2
PPP1R14A	0	0.476713654107016	0.307	0.012	0	Smooth muscle cells	PPP1R14A
ZFHX3	0	0.475760639257964	0.428	0.121	0	Smooth muscle cells	ZFHX3
STEAP4	0	0.474047901473489	0.29	0.081	0	Smooth muscle cells	STEAP4
IRF12	0	0.471520146593805	0.596	0.335	0	Smooth muscle cells	IRF1
TFPI1	0	0.468133753748249	0.421	0.141	0	Smooth muscle cells	TFPI
MAP3K20	0	0.465707107117639	0.451	0.129	0	Smooth muscle cells	MAP3K20
PMEPA11	0	0.459144311549229	0.479	0.159	0	Smooth muscle cells	PMEPA1
DEPP1	0	0.456922981278319	0.302	0.041	0	Smooth muscle cells	DEPP1
MTRNR2L82	0	0.45608279170426	0.518	0.238	0	Smooth muscle cells	MTRNR2L8
KANK2	0	0.445089269925665	0.395	0.05	0	Smooth muscle cells	KANK2
CCND1	0	0.437560918590024	0.472	0.24	0	Smooth muscle cells	CCND1
NFIL31	0	0.433909427251986	0.5	0.226	0	Smooth muscle cells	NFIL3
CCDC102B	0	0.432447243028024	0.305	0.01	0	Smooth muscle cells	CCDC102B
NRARP	0	0.431496329487293	0.46	0.225	0	Smooth muscle cells	NRARP
CPM	0	0.428592277191243	0.353	0.042	0	Smooth muscle cells	CPM
ZNF5031	0	0.428283418415223	0.419	0.171	0	Smooth muscle cells	ZNF503
C1QTNF1	0	0.425769172923979	0.377	0.045	0	Smooth muscle cells	C1QTNF1
UBE2S	0	0.425529148554207	0.49	0.242	0	Smooth muscle cells	UBE2S
A2M1	0	0.424366629154863	0.536	0.121	0	Smooth muscle cells	A2M
MIDN	0	0.423295791318951	0.558	0.358	0	Smooth muscle cells	MIDN
LGI4	0	0.422216880051509	0.336	0.01	0	Smooth muscle cells	LGI4
CYTOR1	0	0.419247607720172	0.485	0.191	0	Smooth muscle cells	CYTOR
GUCY1A1	0	0.419043501749335	0.377	0.047	0	Smooth muscle cells	GUCY1A1
COL14A11	0	0.418115218373443	0.353	0.097	0	Smooth muscle cells	COL14A1
SELENOM1	0	0.417628380186149	0.559	0.208	0	Smooth muscle cells	SELENOM
FXYD11	0	0.417451240765248	0.389	0.09	0	Smooth muscle cells	FXYD1
MYO1B1	0	0.417054884368127	0.424	0.142	0	Smooth muscle cells	MYO1B
HEXIM11	0	0.40994557575951	0.427	0.199	0	Smooth muscle cells	HEXIM1
TSC22D11	0	0.409634828132813	0.476	0.251	0	Smooth muscle cells	TSC22D1
C12orf571	0	0.40945812190196	0.769	0.644	0	Smooth muscle cells	C12orf57
HSPA2	0	0.408037036630379	0.412	0.166	0	Smooth muscle cells	HSPA2
PDE5A	0	0.407870761737528	0.331	0.014	0	Smooth muscle cells	PDE5A
STAT31	0	0.405113067470668	0.593	0.352	0	Smooth muscle cells	STAT3
HSPB11	0	0.404937064000942	0.988	0.962	0	Smooth muscle cells	HSPB1
IFRD1	0	0.398465839963621	0.449	0.214	0	Smooth muscle cells	IFRD1
MTHFD21	0	0.395577646987907	0.414	0.12	0	Smooth muscle cells	MTHFD2
TNS1	0	0.395149104982528	0.375	0.072	0	Smooth muscle cells	TNS1
LMOD1	0	0.394132839897708	0.295	0.007	0	Smooth muscle cells	LMOD1
PTK2	0	0.392895934092509	0.385	0.092	0	Smooth muscle cells	PTK2
FLNA1	0	0.391678174491838	0.492	0.28	0	Smooth muscle cells	FLNA
SLFN11	0	0.390100787199931	0.297	0.074	0	Smooth muscle cells	SLFN11
MAT2A	0	0.389665537526176	0.401	0.221	0	Smooth muscle cells	MAT2A
CD811	0	0.38913961328897	0.879	0.774	0	Smooth muscle cells	CD81
STOM1	0	0.388157583398669	0.559	0.303	0	Smooth muscle cells	STOM
RAMP1	0	0.385717523237467	0.307	0.059	0	Smooth muscle cells	RAMP1
EFHD1	0	0.384704525332161	0.332	0.013	0	Smooth muscle cells	EFHD1
PTMA	0	0.379101103217944	1	1	0	Smooth muscle cells	PTMA
EDNRA	0	0.378484239015607	0.35	0.044	0	Smooth muscle cells	EDNRA
RASL11A	0	0.37721639463725	0.316	0.033	0	Smooth muscle cells	RASL11A
PLPP31	0	0.377061520178775	0.549	0.189	0	Smooth muscle cells	PLPP3
LAMA41	0	0.375584159915697	0.378	0.133	0	Smooth muscle cells	LAMA4
CAVIN31	0	0.37323272618315	0.425	0.175	0	Smooth muscle cells	CAVIN3
HSP90AB12	0	0.365940522297313	0.998	0.988	0	Smooth muscle cells	HSP90AB1
SNHG321	0	0.365750600944306	0.491	0.258	0	Smooth muscle cells	SNHG32
COL18A11	0	0.365401152600068	0.502	0.213	0	Smooth muscle cells	COL18A1
ROCK1	0	0.364885367156116	0.495	0.261	0	Smooth muscle cells	ROCK1
MRVI1	0	0.363947768968541	0.301	0.007	0	Smooth muscle cells	MRVI1
EIF4A2	0	0.360492149475701	0.656	0.538	0	Smooth muscle cells	EIF4A2
SLIT31	0	0.360224476804558	0.388	0.104	0	Smooth muscle cells	SLIT3
SERPINI1	0	0.35745832209925	0.271	0.015	0	Smooth muscle cells	SERPINI1
DNAJA13	0	0.356029492839236	0.803	0.68	0	Smooth muscle cells	DNAJA1
PPP1R12B	0	0.355606158527708	0.331	0.068	0	Smooth muscle cells	PPP1R12B
TUBB3	0	0.354132972916914	0.265	0.065	0	Smooth muscle cells	TUBB3
NET1	0	0.353925503692784	0.312	0.148	0	Smooth muscle cells	NET1
INPP4B	0	0.35312263759168	0.297	0.025	0	Smooth muscle cells	INPP4B
GJC1	0	0.352057965058817	0.292	0.018	0	Smooth muscle cells	GJC1
TLN1	0	0.351485980851298	0.475	0.254	0	Smooth muscle cells	TLN1
KIAA0040	0	0.35040559813914	0.31	0.057	0	Smooth muscle cells	KIAA0040
UGCG2	0	0.35010245353782	0.454	0.24	0	Smooth muscle cells	UGCG
ITGA7	0	0.348840291199322	0.301	0.007	0	Smooth muscle cells	ITGA7
ISYNA1	0	0.346880261403116	0.294	0.02	0	Smooth muscle cells	ISYNA1
TUBA1B1	0	0.345687127592108	0.873	0.751	0	Smooth muscle cells	TUBA1B
RCAN2	0	0.34325788861515	0.278	0.031	0	Smooth muscle cells	RCAN2
VCL	0	0.341458998725628	0.402	0.172	0	Smooth muscle cells	VCL
PLAC91	0	0.34127033240526	0.399	0.138	0	Smooth muscle cells	PLAC9
IFITM32	0	0.338998186857166	0.957	0.851	0	Smooth muscle cells	IFITM3
DLC11	0	0.33863148238007	0.401	0.125	0	Smooth muscle cells	DLC1
CCDC71L1	0	0.337836019645882	0.291	0.103	0	Smooth muscle cells	CCDC71L
TBX2	0	0.335082319784283	0.284	0.014	0	Smooth muscle cells	TBX2
ITIH51	0	0.333607022989402	0.332	0.087	0	Smooth muscle cells	ITIH5
ADAMTS51	0	0.330277959069631	0.294	0.063	0	Smooth muscle cells	ADAMTS5
TGFB1I1	0	0.328992553037222	0.31	0.062	0	Smooth muscle cells	TGFB1I1
PNRC12	0	0.328631611715142	0.921	0.808	0	Smooth muscle cells	PNRC1
HSPA82	0	0.325431259410736	0.915	0.828	0	Smooth muscle cells	HSPA8
B3GNT2	0	0.323085779415355	0.312	0.091	0	Smooth muscle cells	B3GNT2
ING1	0	0.322655087123851	0.349	0.125	0	Smooth muscle cells	ING1
CNN32	0	0.32119776743869	0.458	0.196	0	Smooth muscle cells	CNN3
SPRY12	0	0.320899655658555	0.398	0.177	0	Smooth muscle cells	SPRY1
UBA2	0	0.317309296110643	0.393	0.163	0	Smooth muscle cells	UBA2
BCAM1	0	0.315898757262988	0.329	0.103	0	Smooth muscle cells	BCAM
VASN1	0	0.312702634292418	0.327	0.092	0	Smooth muscle cells	VASN
SDC21	0	0.308381851564531	0.326	0.106	0	Smooth muscle cells	SDC2
EGFLAM	0	0.307605270318681	0.263	0.015	0	Smooth muscle cells	EGFLAM
EMX21	0	0.306040324064967	0.282	0.067	0	Smooth muscle cells	EMX2
AOC3	0	0.305987801304501	0.256	0.014	0	Smooth muscle cells	AOC3
TJP11	0	0.305656353878277	0.373	0.167	0	Smooth muscle cells	TJP1
TACC11	0	0.30507606160247	0.463	0.213	0	Smooth muscle cells	TACC1
NUDT4	0	0.305020902934058	0.368	0.148	0	Smooth muscle cells	NUDT4
H3F3B	0	0.300998130539967	0.999	0.996	0	Smooth muscle cells	H3F3B
FADS3	0	0.300217317590271	0.299	0.055	0	Smooth muscle cells	FADS3
EDNRB1	0	0.298348878586833	0.276	0.073	0	Smooth muscle cells	EDNRB
MPRIP	0	0.294529063997599	0.333	0.107	0	Smooth muscle cells	MPRIP
ITGA1	0	0.292968040011526	0.264	0.061	0	Smooth muscle cells	ITGA1
ADGRF5	0	0.292684788172936	0.252	0.033	0	Smooth muscle cells	ADGRF5
CHSY1	0	0.290601566330062	0.325	0.136	0	Smooth muscle cells	CHSY1
ANGPTL4	0	0.289147721902704	0.282	0.123	0	Smooth muscle cells	ANGPTL4
LDHB	0	0.28689533554847	0.459	0.247	0	Smooth muscle cells	LDHB
FERMT21	0	0.286688065645774	0.36	0.126	0	Smooth muscle cells	FERMT2
BST21	0	0.284896276392415	0.446	0.197	0	Smooth muscle cells	BST2
CCN11	0	0.284844040318275	0.48	0.244	0	Smooth muscle cells	CCN1
RERG	0	0.284786188366487	0.253	0.032	0	Smooth muscle cells	RERG
ZNF703	0	0.284491328291821	0.295	0.098	0	Smooth muscle cells	ZNF703
GNAS1	0	0.283177042931174	0.948	0.907	0	Smooth muscle cells	GNAS
GPX3	0	0.28307292319697	0.257	0.05	0	Smooth muscle cells	GPX3
UTRN1	0	0.282852337958261	0.359	0.162	0	Smooth muscle cells	UTRN
FAT1	0	0.279661243961743	0.323	0.14	0	Smooth muscle cells	FAT1
APOLD11	0	0.279521716672042	0.28	0.066	0	Smooth muscle cells	APOLD1
DNAJB41	0	0.278657638933205	0.415	0.203	0	Smooth muscle cells	DNAJB4
ANKRD101	0	0.27850869088475	0.401	0.202	0	Smooth muscle cells	ANKRD10
SORBS3	0	0.277367410367208	0.313	0.099	0	Smooth muscle cells	SORBS3
ADCY3	0	0.27584972613288	0.279	0.063	0	Smooth muscle cells	ADCY3
LURAP1L	0	0.274356369417401	0.257	0.065	0	Smooth muscle cells	LURAP1L
EIF11	0	0.274133822665143	1	0.999	0	Smooth muscle cells	EIF1
MAPRE2	0	0.273012362607163	0.311	0.102	0	Smooth muscle cells	MAPRE2
AEBP11	0	0.272451986079075	0.438	0.156	0	Smooth muscle cells	AEBP1
RBPMS	0	0.272438233927114	0.284	0.07	0	Smooth muscle cells	RBPMS
ROCK2	0	0.270907901625836	0.378	0.185	0	Smooth muscle cells	ROCK2
DDIT3	0	0.27013663297479	0.338	0.157	0	Smooth muscle cells	DDIT3
OAZ2	0	0.268666066967887	0.361	0.164	0	Smooth muscle cells	OAZ2
CEBPB1	0	0.258289786426866	0.779	0.621	0	Smooth muscle cells	CEBPB
IER32	5.82932565446945e-305	0.274800228446175	0.908	0.777	1.49358981918816e-300	Smooth muscle cells	IER3
LMO41	2.39265856725852e-297	0.31128118211857	0.463	0.27	6.13046978102979e-293	Smooth muscle cells	LMO4
BTG2	3.89680790769494e-297	0.375054749609146	0.505	0.316	9.98440122109597e-293	Smooth muscle cells	BTG2
DPYSL22	3.60392310395479e-291	0.306128244167893	0.417	0.224	9.23397177695297e-287	Smooth muscle cells	DPYSL2
GADD45A2	2.26589325394844e-289	0.34848573063891	0.586	0.394	5.80567169526669e-285	Smooth muscle cells	GADD45A
CSRP1	2.78796240350538e-287	0.355003593681516	0.292	0.14	7.1433172702615e-283	Smooth muscle cells	CSRP1
CCN22	9.92979217813815e-282	0.299040425481592	0.351	0.168	2.54421135188256e-277	Smooth muscle cells	CCN2
BCL6	2.11181183983867e-281	0.263680449522883	0.326	0.161	5.41088429603463e-277	Smooth muscle cells	BCL6
EIF4A3	3.67156845940227e-277	0.516521060236073	0.49	0.329	9.40729270668049e-273	Smooth muscle cells	EIF4A3
AKAP121	2.93574935944682e-276	0.260249755052614	0.258	0.11	7.52197700877464e-272	Smooth muscle cells	AKAP12
BAG33	3.81950129417773e-272	0.267738887818329	0.463	0.272	9.78632621594218e-268	Smooth muscle cells	BAG3
CSRP21	2.69810781001667e-271	0.301032084772525	0.351	0.182	6.91309183082472e-267	Smooth muscle cells	CSRP2
ACTN4	8.2056721972244e-270	0.330225806163061	0.521	0.356	2.10245733037283e-265	Smooth muscle cells	ACTN4
PRRX21	1.5542642982526e-269	0.262453972843695	0.384	0.204	3.98233598498281e-265	Smooth muscle cells	PRRX2
ARHGDIB1	2.12084624908408e-256	0.26115263544278	0.337	0.174	5.43403225940322e-252	Smooth muscle cells	ARHGDIB
SERTAD1	1.17046151516761e-254	0.306481922318525	0.402	0.235	2.99895649416245e-250	Smooth muscle cells	SERTAD1
HNRNPH31	6.01451900650764e-220	0.303602084224366	0.506	0.352	1.54104005984739e-215	Smooth muscle cells	HNRNPH3
MYH91	1.30581384974844e-215	0.276657186824138	0.476	0.32	3.34575624582546e-211	Smooth muscle cells	MYH9
CIRBP	4.20313784308959e-214	0.252880591503702	0.756	0.727	1.07692797815642e-209	Smooth muscle cells	CIRBP
MEG31	4.0849593323686e-212	0.347994699293635	0.318	0.163	1.04664828013948e-207	Smooth muscle cells	MEG3
SLC38A21	8.06840566417645e-210	0.296534823412467	0.767	0.738	2.06728689927529e-205	Smooth muscle cells	SLC38A2
SEPHS2	8.71019221800765e-208	0.253282174064154	0.322	0.179	2.23172545009792e-203	Smooth muscle cells	SEPHS2
DDX51	5.58140669476883e-205	0.273549823232585	0.913	0.902	1.43006802333367e-200	Smooth muscle cells	DDX5
SBDS1	1.51197446854444e-204	0.257624386621605	0.513	0.359	3.87398098330456e-200	Smooth muscle cells	SBDS
SOCS1	4.76177055735509e-202	0.291200071534669	0.257	0.131	1.22006085220552e-197	Smooth muscle cells	SOCS1
HES11	1.82216815472458e-195	0.521910820075311	0.554	0.437	4.66875924603531e-191	Smooth muscle cells	HES1
MYC	8.31844059845974e-193	0.423265397289302	0.543	0.427	2.13135085013735e-188	Smooth muscle cells	MYC
HOPX1	5.91828680350458e-191	0.344354124668092	0.547	0.412	1.51638344479394e-186	Smooth muscle cells	HOPX
SH3BGRL	3.36371962704271e-185	0.267314425291986	0.522	0.388	8.61852242840884e-181	Smooth muscle cells	SH3BGRL
AMD11	1.30502003592786e-183	0.275313245064132	0.508	0.364	3.34372233605436e-179	Smooth muscle cells	AMD1
PPP1R101	8.95894122947546e-176	0.25990096773791	0.408	0.267	2.2954599218162e-171	Smooth muscle cells	PPP1R10
IER51	1.09708321670136e-159	0.267894157142254	0.452	0.313	2.81094661783222e-155	Smooth muscle cells	IER5
MYL6	2.96683489931702e-159	0.25977215059682	0.983	0.985	7.60162437903007e-155	Smooth muscle cells	MYL6
RSRP12	1.15561905910005e-153	0.250322635952846	0.508	0.377	2.96092715322614e-149	Smooth muscle cells	RSRP1
EIF1B1	3.29119870174243e-150	0.262306068588116	0.447	0.318	8.43270931360445e-146	Smooth muscle cells	EIF1B
CXCL22	7.86342485174143e-150	0.363795565203745	0.39	0.241	2.01476671551319e-145	Smooth muscle cells	CXCL2
FOSB1	2.21679397133763e-135	0.338017250140884	0.691	0.662	5.67986951336127e-131	Smooth muscle cells	FOSB
MGST31	9.49230162645585e-132	0.275042564714208	0.635	0.612	2.43211752273052e-127	Smooth muscle cells	MGST3
VMP12	4.89946222410444e-129	0.277418579058389	0.582	0.505	1.25534021106004e-124	Smooth muscle cells	VMP1
HNRNPU	8.0533173667017e-123	0.279349203658984	0.712	0.714	2.06342097569631e-118	Smooth muscle cells	HNRNPU
SRSF3	4.30728154612347e-110	0.26978207780757	0.737	0.753	1.10361167774775e-105	Smooth muscle cells	SRSF3
FUS	8.79999509843286e-101	0.252000446835407	0.648	0.652	2.25473474412047e-96	Smooth muscle cells	FUS
CYCS	4.86567415222236e-47	0.495447248340732	0.55	0.595	1.24668303128241e-42	Smooth muscle cells	CYCS
IL32	0	1.71171965082571	0.735	0.114	0	T cells	IL32
IL7R1	0	1.40011745225799	0.619	0.045	0	T cells	IL7R
PTPRC1	0	1.39873912041339	0.814	0.089	0	T cells	PTPRC
CREM2	0	1.24202308147434	0.746	0.219	0	T cells	CREM
KLRB1	0	1.14511348936601	0.399	0.002	0	T cells	KLRB1
CYTIP1	0	1.11036995699398	0.707	0.08	0	T cells	CYTIP
CXCR41	0	1.09024303895421	0.627	0.129	0	T cells	CXCR4
CD521	0	1.07349014763349	0.642	0.046	0	T cells	CD52
SRGN1	0	1.05768023888366	0.923	0.289	0	T cells	SRGN
LTB	0	1.02020350648452	0.53	0.034	0	T cells	LTB
TMSB4X2	0	1.00450407199987	1	0.973	0	T cells	TMSB4X
CD2	0	0.985668208785249	0.571	0.004	0	T cells	CD2
TNFRSF18	0	0.955382333603884	0.497	0.084	0	T cells	TNFRSF18
BTG11	0	0.955139006391508	0.993	0.913	0	T cells	BTG1
STK41	0	0.952147425077897	0.721	0.172	0	T cells	STK4
CD3D	0	0.918095433281267	0.526	0.002	0	T cells	CD3D
FAM107B1	0	0.897916848446102	0.638	0.201	0	T cells	FAM107B
RORA	0	0.885882817439945	0.59	0.216	0	T cells	RORA
S100A43	0	0.872362756731056	0.908	0.581	0	T cells	S100A4
TRBC2	0	0.871870097649752	0.46	0.003	0	T cells	TRBC2
ARHGDIB2	0	0.860858007669657	0.628	0.174	0	T cells	ARHGDIB
EZR1	0	0.83052973656742	0.742	0.506	0	T cells	EZR
TRAC	0	0.828013431169025	0.434	0.032	0	T cells	TRAC
TRBC1	0	0.809819981654708	0.361	0.002	0	T cells	TRBC1
STK17B1	0	0.774571772236254	0.567	0.143	0	T cells	STK17B
CLEC2D	0	0.733760433539079	0.444	0.021	0	T cells	CLEC2D
BATF	0	0.707284319876772	0.39	0.013	0	T cells	BATF
SARAF	0	0.696031912116738	0.608	0.346	0	T cells	SARAF
DUSP21	0	0.693642045929007	0.439	0.116	0	T cells	DUSP2
SAMSN11	0	0.680750144756914	0.496	0.08	0	T cells	SAMSN1
BCL11B1	0	0.679619841434456	0.509	0.179	0	T cells	BCL11B
BIRC31	0	0.672345386244209	0.677	0.259	0	T cells	BIRC3
CD69	0	0.663671955722081	0.32	0.012	0	T cells	CD69
MALAT12	0	0.65604967870894	1	0.998	0	T cells	MALAT1
TSC22D31	0	0.651269777668231	0.54	0.225	0	T cells	TSC22D3
CDC42SE2	0	0.63952999466446	0.508	0.126	0	T cells	CDC42SE2
SMAP21	0	0.638838360465634	0.463	0.113	0	T cells	SMAP2
FYB1	0	0.634097899583922	0.413	0.037	0	T cells	FYB1
LINC-PINT1	0	0.627221852492116	0.522	0.193	0	T cells	LINC-PINT
CD481	0	0.619112013531436	0.482	0.066	0	T cells	CD48
SPOCK2	0	0.608391381485224	0.411	0.002	0	T cells	SPOCK2
GNG2	0	0.596719268766363	0.394	0.03	0	T cells	GNG2
RUNX31	0	0.58687995838095	0.452	0.108	0	T cells	RUNX3
CD3E	0	0.580123772791722	0.408	0.002	0	T cells	CD3E
CNOT6L	0	0.577030607178017	0.447	0.147	0	T cells	CNOT6L
IKZF1	0	0.573308578379535	0.399	0.03	0	T cells	IKZF1
HCST1	0	0.57143255908219	0.417	0.068	0	T cells	HCST
LCP11	0	0.56989840475842	0.536	0.125	0	T cells	LCP1
RPS29	0	0.567832099161149	1	0.998	0	T cells	RPS29
CD7	0	0.563507164060901	0.337	0.01	0	T cells	CD7
ICOS	0	0.559131338350723	0.291	0.001	0	T cells	ICOS
RGCC1	0	0.553280407664932	0.43	0.143	0	T cells	RGCC
CORO1A1	0	0.550543312451457	0.354	0.045	0	T cells	CORO1A
FXYD51	0	0.54325277881382	0.489	0.207	0	T cells	FXYD5
IL2RG	0	0.536462964443016	0.396	0.04	0	T cells	IL2RG
RAB8B1	0	0.524782222386704	0.488	0.182	0	T cells	RAB8B
PCED1B-AS1	0	0.515608251960769	0.357	0.01	0	T cells	PCED1B-AS1
RHOH	0	0.512996238491928	0.358	0.013	0	T cells	RHOH
STK17A	0	0.511976703834882	0.412	0.131	0	T cells	STK17A
ARL4C1	0	0.510479478760542	0.601	0.245	0	T cells	ARL4C
ETS12	0	0.508154090935727	0.5	0.199	0	T cells	ETS1
LEPROTL1	0	0.502918001901545	0.383	0.119	0	T cells	LEPROTL1
CD371	0	0.497348569869448	0.429	0.077	0	T cells	CD37
CD3G	0	0.49003064521321	0.302	0.001	0	T cells	CD3G
RPS27	0	0.487495125014878	1	1	0	T cells	RPS27
FNBP11	0	0.486391819413403	0.479	0.182	0	T cells	FNBP1
ITM2A1	0	0.481362579740215	0.35	0.093	0	T cells	ITM2A
B2M1	0	0.475169187859475	1	1	0	T cells	B2M
ALOX5AP	0	0.467618556206649	0.311	0.029	0	T cells	ALOX5AP
RAB11FIP11	0	0.452459314420748	0.372	0.114	0	T cells	RAB11FIP1
RGS11	0	0.452009520808274	0.34	0.088	0	T cells	RGS1
ACAP1	0	0.447796853412555	0.334	0.024	0	T cells	ACAP1
RAC2	0	0.444208920575656	0.321	0.047	0	T cells	RAC2
ISG201	0	0.424051550293624	0.332	0.085	0	T cells	ISG20
GMFG1	0	0.418200352767718	0.353	0.108	0	T cells	GMFG
RPS15A	0	0.406161536652637	1	0.999	0	T cells	RPS15A
GPR65	0	0.388054615501098	0.281	0.042	0	T cells	GPR65
LAPTM51	0	0.385744945407702	0.417	0.122	0	T cells	LAPTM5
CD531	0	0.376049874212592	0.319	0.062	0	T cells	CD53
RPL28	0	0.370612683674595	1	1	0	T cells	RPL28
PDE4D	0	0.36573419464496	0.27	0.063	0	T cells	PDE4D
CD28	0	0.349755304540016	0.255	0.002	0	T cells	CD28
